itemCode,supplierCode,hospitalCode,quantityReceived,quantityDistributed,dateTime
GL,SU001,,10,0,2025-03-19 19:56:31
GL,,H002,0,25,2025-03-19 19:56:37
MS,SU003,,15,0,2025-03-19 19:56:44
SC,SU003,,30,0,2025-03-19 19:56:50
SC,,H003,0,50,2025-03-19 19:56:57
FS,,H002,0,35,2025-03-19 19:57:06
GW,,H004,0,20,2025-03-19 19:57:15
HC,,H002,0,80,2025-03-19 19:57:22
HC,SU004,,30,0,2025-03-19 19:57:31
HC,,H002,0,35,2025-03-19 19:57:45
GL,,H001,0,45,2025-03-19 19:57:59
GL,,H001,0,20,2025-03-19 19:58:07
GW,SU001,,15,0,2025-03-21 20:00:53
GL,,H002,0,15,2025-03-21 20:01:04
GL,SU001,,25,0,2025-03-21 20:01:11
HC,,H002,0,15,2025-03-28 20:01:25
HC,SU004,,125,0,2025-03-28 20:01:35
MS,,H003,0,60,2025-03-28 20:01:49
GW,SU001,,15,0,2025-04-04 20:02:00
GL,SU001,,20,0,2025-04-04 20:03:00
GW,,H003,0,50,2025-04-04 20:03:09
HC,,H001,0,20,2025-04-04 20:03:18
HC,SU004,,15,0,2025-04-08 20:07:40
HC,,H003,0,20,2025-04-16 20:07:50
HC,,H004,0,30,2025-04-16 20:07:59
FS,,H002,0,50,2025-04-16 20:08:37
HC,,H002,0,30,2025-04-16 20:08:44
SC,,H003,0,30,2025-04-16 20:09:00
HC,,H003,0,30,2025-04-16 20:09:10
GW,,H001,0,30,2025-04-16 20:11:18
FS,SU002,,30,0,2025-04-16 20:11:24
MS,SU003,,30,0,2025-04-22 20:11:38
FS,,H003,0,25,2025-04-22 20:11:48
EP,SU006,,20,0,2025-04-22 20:13:52
EP,,H002,0,45,2025-04-22 20:13:58
GW,,H002,0,15,2025-04-22 20:14:38
GL,SU001,,30,0,2025-05-02 20:15:00
EP,,H001,0,15,2025-05-02 20:15:07
EP,SU003,,50,0,2025-05-02 20:15:12
MS,,H003,0,30,2025-05-02 20:15:25
GW,,H004,0,10,2025-05-02 20:17:41
GL,,H001,0,30,2025-05-02 20:17:47
